time	vout
1.81364583333334495E-9	-3.78712865463752157E-3
1.81885416666667821E-9	-3.75333143870188657E-3
1.82406250000001191E-9	-3.71705640304756457E-3
1.82927083333334517E-9	-3.72332732826692103E-3
1.83447916666667910E-9	-3.79991891255328795E-3
1.83968750000001169E-9	-4.06350433042572057E-3
1.84489583333334473E-9	-4.36398325823646349E-3
1.85010416666667865E-9	-4.67552857625970120E-3
1.85531250000001213E-9	-4.99406192271380789E-3
1.86052083333334561E-9	-5.25243623929872783E-3
1.86572916666667910E-9	-5.41724445254582676E-3
1.87093750000001169E-9	-5.31719223340985536E-3
1.87614583333334517E-9	-5.15712490792525813E-3
1.88135416666667821E-9	-5.03189638359301217E-3
1.88656250000001124E-9	-4.85948236853897875E-3
1.89177083333334428E-9	-4.67005653326816539E-3
1.89697916666667776E-9	-4.60370118768643177E-3
1.90218750000001102E-9	-4.62517889504684376E-3
1.90739583333334406E-9	-4.71770647045582336E-3
1.91260416666667710E-9	-4.76860218197853936E-3
1.91781250000001013E-9	-4.77423886110003171E-3
1.92302083333334384E-9	-4.66146296905687851E-3
1.92822916666667710E-9	-4.51734999616673338E-3
1.93343750000001013E-9	-4.34896694142422913E-3
1.93864583333334295E-9	-4.12950163312718299E-3
1.94385416666667599E-9	-3.96299752200020894E-3
1.94906250000000947E-9	-3.90157896410679772E-3
1.95427083333334251E-9	-4.05782326053276776E-3
1.95947916666667532E-9	-4.26669934529792805E-3
1.96468750000000902E-9	-4.43804461403131434E-3
1.96989583333334206E-9	-4.61148967782205954E-3
1.97510416666667488E-9	-4.78853288834404989E-3
1.98031250000000880E-9	-4.93586824502143440E-3
1.98552083333334162E-9	-5.01339595367662838E-3
1.99072916666667488E-9	-5.01453402497691059E-3
1.99593750000000814E-9	-5.04966216258718514E-3
2.00114583333334117E-9	-5.09435904936250239E-3
2.00635416666667465E-9	-5.12098036305128446E-3
2.01156250000000769E-9	-5.10068063931870874E-3
2.01677083333334073E-9	-5.06641892393445481E-3
2.02197916666667377E-9	-5.07327305924684602E-3
2.02718750000000680E-9	-5.06149069344536162E-3
2.03239583333333984E-9	-5.00259248781725763E-3
2.03760416666667332E-9	-4.90875530860601295E-3
2.04281250000000636E-9	-4.79910698085177323E-3
2.04802083333334028E-9	-4.70105058410609367E-3
2.05322916666667288E-9	-4.61783325901864128E-3
2.05843750000000636E-9	-4.54225107046145649E-3
2.06364583333333940E-9	-4.45454801417843615E-3
2.06885416666667243E-9	-4.41573122927867878E-3
2.07406250000000547E-9	-4.44707323049471892E-3
2.07927083333333851E-9	-4.48920805143924362E-3
2.08447916666667155E-9	-4.15577411920104289E-3
2.08968750000000503E-9	-2.48617719430562811E-3
2.09489583333333851E-9	-8.51236120636859184E-4
2.10010416666667155E-9	7.62793082430484493E-4
2.10531250000000458E-9	2.42025859109996633E-3
2.11052083333333806E-9	4.40020577348591502E-3
2.11572916666667110E-9	6.97105347392253272E-3
2.12093750000000458E-9	8.19425716483360489E-3
2.12614583333333718E-9	9.05065825990473627E-3
2.13135416666667021E-9	9.91784461732277833E-3
2.13656250000000325E-9	1.09046241814570344E-2
2.14177083333333673E-9	1.18450789084938179E-2
2.14697916666666977E-9	1.21353125423838781E-2
2.15218750000000369E-9	1.22696385713293643E-2
2.15739583333333673E-9	1.24139353852057521E-2
2.16260416666666933E-9	1.25832946567338011E-2
2.16781250000000192E-9	1.27195332270272798E-2
2.17302083333333629E-9	1.28077801610017472E-2
2.17822916666666888E-9	1.28856221776101609E-2
2.18343750000000281E-9	1.29782040910844820E-2
2.18864583333333540E-9	1.31151992128272932E-2
2.19385416666666844E-9	1.32482094085138469E-2
2.19906250000000147E-9	1.33552530417636839E-2
2.20427083333333451E-9	1.33560551666545124E-2
2.20947916666666755E-9	1.33129642950921934E-2
2.21468750000000147E-9	1.32466069594589841E-2
2.21989583333333407E-9	1.31294703400469182E-2
2.22510416666666799E-9	1.29714761511068222E-2
2.23031250000000103E-9	1.27910443699093257E-2
2.23552083333333451E-9	1.26632163501296580E-2
2.24072916666666710E-9	1.26131337760216278E-2
